case ID,activity,timestamp
1,Scan Invoice,1700-12-30
2,Book Invoice,1700-12-30
2,Change Price,1701-12-30
2,Create Purchase Order Item,1702-12-30
2,Receive Goods,1703-12-30
2,Scan Invoice,1704-12-30
2,Send Purchase Order,1705-12-30
3,Book Invoice,1700-12-30
3,Create Purchase Order Item,1701-12-30
3,Receive Goods,1702-12-30
3,Scan Invoice,1703-12-30
3,Send Purchase Order,1704-12-30
4,Book Invoice,1700-12-30
4,Change Price,1701-12-30
4,Create Purchase Order Item,1702-12-30
4,Receive Goods,1703-12-30
4,Scan Invoice,1704-12-30
4,Send Purchase Order,1705-12-30
5,Book Invoice,1700-12-30
5,Change Price,1701-12-30
5,Create Purchase Order Item,1702-12-30
5,Receive Goods,1703-12-30
5,Scan Invoice,1704-12-30
5,Send Purchase Order,1705-12-30
6,Book Invoice,1700-12-30
6,Create Purchase Order Item,1701-12-30
6,Receive Goods,1702-12-30
6,Scan Invoice,1703-12-30
6,Send Purchase Order,1704-12-30
7,Book Invoice,1700-12-30
7,Change Price,1701-12-30
7,Create Purchase Order Item,1702-12-30
7,Receive Goods,1703-12-30
7,Scan Invoice,1704-12-30
7,Send Purchase Order,1705-12-30
8,Book Invoice,1700-12-30
8,Change Price,1701-12-30
8,Create Purchase Order Item,1702-12-30
8,Receive Goods,1703-12-30
8,Scan Invoice,1704-12-30
8,Send Purchase Order,1705-12-30
9,Book Invoice,1700-12-30
9,Create Purchase Order Item,1701-12-30
9,Receive Goods,1702-12-30
9,Scan Invoice,1703-12-30
9,Send Purchase Order,1704-12-30
10,Book Invoice,1700-12-30
10,Change Price,1701-12-30
10,Create Purchase Order Item,1702-12-30
10,Receive Goods,1703-12-30
10,Scan Invoice,1704-12-30
10,Send Purchase Order,1705-12-30
11,Book Invoice,1700-12-30
11,Change Price,1701-12-30
11,Create Purchase Order Item,1702-12-30
11,Receive Goods,1703-12-30
11,Scan Invoice,1704-12-30
11,Send Purchase Order,1705-12-30
12,Book Invoice,1700-12-30
12,Create Purchase Order Item,1701-12-30
12,Receive Goods,1702-12-30
12,Scan Invoice,1703-12-30
